Repository,Total Files,Total Directories,Total Size (MB),Average File Size (bytes),Top File Type,Top File Type Count
https://github.com/guilatrova/gracy,58,12,1.68,30360.79,.py,39
https://github.com/scikit-learn-contrib/DESlib,177,24,0.74,4391.28,.py,102
https://github.com/zukijourney/api-oss,83,22,0.44,5561.48,.py,62
https://github.com/austind/retryhttp,26,6,0.06,2354.46,.py,12
https://github.com/ThatsRight-ItsTJ/Outbound-API-Handler,ERROR,,,,,
https://github.com/lexlapax/go-llms,ERROR,,,,,
https://github.com/pikho/ppromptor,ERROR,,,,,
https://github.com/austin-starks/Promptimizer,ERROR,,,,,
https://github.com/michaelachmann/gpt-cost-estimator,ERROR,,,,,
https://github.com/Portkey-AI/gateway,ERROR,,,,,
https://github.com/beepkh/SUPMER,ERROR,,,,,
https://github.com/Oneirocom/ai-api-cost-estimator,ERROR,,,,,
https://github.com/AdieLaine/MetaBot,ERROR,,,,,
https://github.com/AHarshkkk6/-AI-Powered-Task-Management-System,ERROR,,,,,
